RCV,city,city_ascii,city_alt,state_id,state_name,county_fips,county_name,county_fips_all,county_name_all,lat,lng,population,population_proper,density,source,military,incorporated,township,timezone,ranking,zips,id,age_median,age_under_10,age_10_to_19,age_20s,age_30s,age_40s,age_50s,age_60s,age_70s,age_over_80,male,female,married,divorced,never_married,widowed,family_size,family_dual_income,income_household_median,income_household_under_5,income_household_5_to_10,income_household_10_to_15,income_household_15_to_20,income_household_20_to_25,income_household_25_to_35,income_household_35_to_50,income_household_50_to_75,income_household_75_to_100,income_household_100_to_150,income_household_150_over,income_household_six_figure,income_individual_median,home_ownership,home_value,rent_median,rent_burden,education_less_highschool,education_highschool,education_some_college,education_bachelors,education_graduate,education_college_or_above,education_stem_degree,labor_force_participation,unemployment_rate,race_white,race_black,race_asian,race_native,race_pacific,race_other,race_multiple,hispanic,disabled,poverty,limited_english,commute_time,health_uninsured,veteran
,Kearns,Kearns,,UT,Utah,49035,Salt Lake,49035,Salt Lake,40.652,-112.0093,37194,37194,3100,polygon,FALSE,FALSE,FALSE,America/Denver,2,84118,1840017500,29.6,18.2,17.5,15,16,13,10.2,5.9,2.3,1.9,50.9,49.1,52.4,11.5,32.3,3.8,4.03,67.6,59543,1.2,0.4,2.5,2.3,5.4,10.2,16.5,26.1,19.1,12.2,4.2,16.4,26176,81.9,164659,1136,21.5,21.5,33.1,34.6,8.3,2.6,10.9,34.1,75.1,6,70.7,1.3,3.5,1.6,2,17.2,3.7,32.9,10.3,11.4,4.3,25.8,17.7,5
,Orem,Orem,,UT,Utah,49049,Utah,49049,Utah,40.2983,-111.6992,97839,97839,2044,polygon,FALSE,TRUE,FALSE,America/Denver,2,84097 84057 84058 84059,1840020171,25.9,17.9,15.6,23.8,12.8,8.4,8.5,6.6,4.1,2.2,50.5,49.5,56.8,7.5,32.4,3.3,3.78,61.9,58077,3,2.2,3.9,4.3,4,8.8,15.4,20.9,14.3,14.2,8.7,22.9,22758,58.9,229897,1091,17.4,8.1,15.2,38.8,25.7,12.2,37.9,40.2,68.3,5.2,87.9,1,2.4,0.7,1.1,3.6,3.3,16.9,9.1,15,3.9,17.9,12.7,3.7
,Clinton,Clinton,,UT,Utah,49011,Davis,49011,Davis,41.1395,-112.0656,21971,21971,1430,polygon,FALSE,TRUE,FALSE,America/Denver,3,84015,1840018736,29.6,19.3,18,13.2,17.6,11.5,10.1,6,3.3,0.9,49.1,50.9,64.4,8.8,24.3,2.5,3.66,64.1,76378,0.8,0.8,2,2.1,2,5.8,9.7,24.9,21.9,21.3,8.6,29.9,33286,84.4,205924,1258,19.1,5.8,28.1,43.6,16,6.5,22.5,44.1,72.8,3.3,89,1.6,2.2,0.9,0.4,2.7,3.2,11.6,9.5,4.2,0.6,24,6.9,8.9
,Bountiful,Bountiful,,UT,Utah,49011,Davis,49011,Davis,40.8722,-111.8647,44107,44107,1289,polygon,FALSE,TRUE,FALSE,America/Denver,3,84010 84011,1840018737,33.9,16.2,14.9,13.2,14.2,10.2,11,8,6.9,5.5,49.1,50.9,59.1,9.6,25.6,5.6,3.48,54.9,69611,3,1.1,2.5,2.8,3.2,7.9,12.1,22.2,13.9,17,14.4,31.4,29803,73.6,274546,1221,17.3,3.9,17.6,35,28.5,15,43.5,39.3,62.9,3,93.4,0.4,1.2,0.5,0.2,1.8,2.4,6.5,11.7,6.4,1.5,21.2,7.7,6.6
,Taylorsville,Taylorsville,,UT,Utah,49035,Salt Lake,49035,Salt Lake,40.6569,-111.9493,59992,59992,2134,polygon,FALSE,TRUE,FALSE,America/Denver,2,84084 84123 84118 84184,1840021387,33.4,16.4,12.6,15.2,15.7,11.8,11.1,10.7,4.4,2,50.2,49.8,50.2,13.9,31.2,4.7,3.53,62.9,59968,1.7,1.8,3.6,4.6,4.7,9.6,15.2,21.5,14.5,15.2,7.6,22.8,28746,69.7,206164,1116,18.5,10.1,29.7,38.3,16.1,5.7,21.8,42.8,72.2,4.2,76.7,2.2,4.9,0.7,1.4,9.9,4.1,20.8,11.2,11.2,4.7,21.4,13.7,5.3
1,Riverton,Riverton,,UT,Utah,49035,Salt Lake,49035,Salt Lake,40.5176,-111.9635,43344,43344,1324,polygon,FALSE,TRUE,FALSE,America/Denver,3,84096 84065,1840020157,30.7,20.5,18.7,10.3,14.7,14.7,10.1,7.1,2.7,1.3,49.6,50.4,64.4,9.1,23.6,2.9,3.97,66.2,92154,0.7,0.2,1.1,0.3,2.3,6.1,8.3,15.7,19.6,27.6,18.1,45.7,35845,89.6,301776,1644,21.1,4.8,18.5,44.5,22.8,9.4,32.2,38.5,73.7,3.1,95.2,0.6,1.7,0.2,0.6,0.6,1.2,7.1,6.9,4.2,0.4,23.9,5.7,4
,Ogden,Ogden,,UT,Utah,49057,Weber,49057,Weber,41.228,-111.9677,573632,87031,1233,polygon,FALSE,TRUE,FALSE,America/Denver,2,84404 84401 84403 84244 84407 84408 84409 84415,1840020135,31,15.6,14.3,18,15.9,10.8,10.7,7.9,3.9,2.8,51.6,48.4,44.8,17.9,33.3,4,3.43,53.1,43361,4.7,5.4,6.1,5.2,5,13.3,16.7,18.2,13,8,4.3,12.3,23852,55.4,140282,924,18.8,17.3,29,34,13.3,6.5,19.8,45.9,64.5,6.4,84.8,1.6,1.2,1.1,0.2,7.1,3.9,32.3,13,21.4,4.1,20.3,17.1,7.8
,Tremonton,Tremonton,,UT,Utah,49003,Box Elder,49003,Box Elder,41.7188,-112.1891,11155,8626,416,polygon,FALSE,TRUE,FALSE,America/Denver,3,84337,1840021326,24.2,26,17.2,12.3,12.8,8.7,10,5.6,4.9,2.5,52.7,47.3,62.8,7.6,25.6,4,3.67,49,51354,0.6,1.7,1.9,6.1,7.1,15.1,15.4,27.7,13.6,9.5,1.1,10.6,24796,66.9,158724,997,19,11.3,31.7,38.6,13.1,5.4,18.5,36.2,62.5,6.7,87.8,1.8,2.4,0,0,5.6,2.4,15.3,13,16.8,5.1,21,8.8,5.4
,St. Peter,St. Peter,Saint Peter,MN,Minnesota,27103,Nicollet,27103,Nicollet,44.3296,-93.9659,12372,11906,753,polygon,FALSE,TRUE,FALSE,America/Chicago,3,56082,1840008972,29.7,10.3,19,20.9,12.2,9.1,10.1,8,4.7,5.7,48.6,51.4,37.6,8.4,48.9,5,2.87,59.1,53768,2.5,2.9,5.5,5.7,4.7,13.7,13.6,18,16.3,12.5,4.7,17.2,18968,61.8,166874,980,16.4,10.7,27.1,29.7,20.3,12.2,32.5,41.1,65.8,2.9,90.7,2.5,3.1,0.4,0,1,2.4,7.2,13.7,21.1,3.1,17.6,4.1,6.4
,Columbia Heights,Columbia Heights,,MN,Minnesota,27003,Anoka,27003,Anoka,45.0484,-93.2472,20254,20254,2307,polygon,FALSE,TRUE,FALSE,America/Chicago,2,55421,1840006712,36.3,13.1,11.7,15.5,14.2,12.2,13.6,9.1,5.2,5.4,49.7,50.3,37,15.9,40.1,7,3.33,59.5,51071,1.8,2.7,2.7,7.1,8.2,10.1,16.1,20.9,10.7,14.3,5.4,19.7,28074,63.9,160827,1115,21,12.4,31.5,33.9,14.9,7.3,22.2,43.8,69.2,6.8,64.1,18.1,5.9,1.3,0.1,5.5,4.9,10.2,12.6,14.3,6.8,26,8.1,7.3
,Maplewood,Maplewood,,MN,Minnesota,27123,Ramsey,27123,Ramsey,44.984,-93.0247,40918,40918,931,polygon,FALSE,TRUE,FALSE,America/Chicago,3,55117 55119 55109,1840008937,38.7,12.6,11.2,13.7,14.1,12,14.7,10,6.1,5.7,47.8,52.2,48.6,11.2,33,7.2,3.15,62.9,63941,1.7,1.2,3.4,3.7,4.8,8.6,12.8,21.6,12,18.7,11.5,30.2,32689,70.6,196541,1257,19,8.9,28,32.2,19.2,11.7,30.9,46.5,68.9,5,69.6,9.3,15,0.5,0,1.3,4.3,7.6,14.3,8.7,2.3,25.5,6.8,7.3
,St. Paul,St. Paul,Saint Paul,MN,Minnesota,27123,Ramsey,27123,Ramsey,44.9477,-93.104,306621,306621,2277,polygon,FALSE,TRUE,FALSE,America/Chicago,2,55114 55117 55116 55119 55130 55101 55155 55102 55103 55106 55107 55104 55105 55108 55131 55133 55144 55145 55146 55164 55165 55170 55175,1840008940,31.5,14.7,13.8,18.8,15.1,11.2,11.5,8.9,3.6,2.5,49.4,50.6,38.4,12.3,45.2,4,3.47,58.8,52841,3.4,4.4,5.7,5.4,5.3,10.3,13.1,18.4,11.5,12.4,10.2,22.6,27306,49.9,187136,1258,18.7,13.6,21,25.6,23.4,16.3,39.7,44.8,70.7,6.7,57.4,15.9,18,0.9,0,2.9,4.9,9.7,11.6,20.4,8.1,23.7,8.3,4.5
,Willmar,Willmar,,MN,Minnesota,27067,Kandiyohi,27067,Kandiyohi,45.122,-95.0569,20262,19628,542,polygon,FALSE,TRUE,FALSE,America/Chicago,3,56201,1840009995,34.2,14.4,14.1,15.8,12.8,11.6,10.7,9,6.9,5,49.6,50.4,47.3,11.5,34.5,6.7,3.13,54.6,46740,2.8,6.6,5.7,5.3,7.5,8.2,17.8,20.7,11.5,9.6,4.2,13.8,25785,59,130863,889,17.3,18.1,26.8,35.3,13.1,6.8,19.9,41.6,66,4,77.7,9.2,1.2,0.6,0,9.5,1.8,22,13,17,7.1,12.6,8,6
,Northfield,Northfield,,MN,Minnesota,27131,Rice,27131|27037,Rice|Dakota,44.4551,-93.1697,22037,20474,930,polygon,FALSE,TRUE,FALSE,America/Chicago,3,55057,1840007891,27.5,10.5,19.6,21.9,8.4,9.3,11,9.3,5.4,4.5,46.9,53.1,39.1,8.5,47.7,4.7,2.88,56.9,62032,2.1,4.1,3,3.6,7.5,8.2,13.5,18.4,15.3,13,11.5,24.5,19887,66.3,203448,1196,18.1,4.7,21.2,28.6,23.5,22,45.5,37.8,70.2,3.6,88.5,1.9,3.5,0.2,0.1,3.8,2.2,8.7,7.5,11.7,2.2,20.9,4.8,5.9
,Anoka,Anoka,,MN,Minnesota,27003,Anoka,27003,Anoka,45.2099,-93.3893,17522,17522,1015,polygon,FALSE,TRUE,FALSE,America/Chicago,3,55303,1840006717,39.3,12,11.4,14.3,13.4,14,12.5,11,6.2,5.4,48.2,51.8,42.9,16.2,33.8,7.1,3.04,52.8,50625,2.1,2.7,5.3,5.6,7.1,12,14.6,21.4,13.5,9.8,5.9,15.7,26917,50.5,176285,1081,19.3,8.2,33.8,36,15.5,6.4,21.9,43.2,63.3,5.8,84.5,8,1.5,0.6,0,1.6,3.8,4.3,16.8,12.1,1.2,23.6,6.6,8.4
,Forest Lake,Forest Lake,,MN,Minnesota,27163,Washington,27163,Washington,45.2536,-92.9583,23602,19879,251,polygon,FALSE,TRUE,FALSE,America/Chicago,3,55025,1840007808,39.1,13.5,13.7,12,12.2,13.7,16.4,10.3,5.4,2.8,50.8,49.2,53.9,13.4,27.8,5,3.06,64.1,74475,1.6,1.5,2.7,3.3,3.5,6.1,9.9,21.9,14.8,22,12.8,34.8,36445,74.4,244032,1384,17.5,4.6,29.2,38.6,18.2,9.4,27.6,48.4,73.6,3.6,94,1.5,0.8,0.4,0.1,0.2,3.1,2,11.2,5.9,0.3,28.2,4.2,8.3
,New Brighton,New Brighton,,MN,Minnesota,27123,Ramsey,27123,Ramsey,45.0658,-93.2061,22787,22787,1360,polygon,FALSE,TRUE,FALSE,America/Chicago,3,55112,1840007841,39.2,12.8,12.7,12.1,13.1,12.1,13.2,10.7,8.1,5.2,48.9,51.1,52.8,12,29.4,5.7,3.02,55.2,68775,1.6,2.4,2.5,6.1,4.5,9.1,13.8,13.8,14.9,16.4,14.8,31.2,36876,61.1,229834,1266,16.4,4.9,21.3,26.4,31.3,16.2,47.5,48.6,67.8,4.6,79.9,8.4,5.3,0.3,0,2.2,3.7,5.3,10.8,11.8,4.3,23.1,5.3,7.2
,Rogers,Rogers,,MN,Minnesota,27053,Hennepin,27053,Hennepin,45.1865,-93.5783,12984,12984,197,polygon,FALSE,TRUE,FALSE,America/Chicago,3,55374,1840008932,35.9,16,16.4,7.7,14.9,17.4,11.7,7.2,4.1,4.4,47.4,52.6,62.5,9.7,22.8,4.9,3.44,69.9,120602,0,1.2,2.5,0,3.3,4.2,4,11.6,11.9,26.3,35,61.3,50819,83.3,289038,1901,17.4,3.1,18.8,35.6,30.4,12.1,42.5,42.7,76.2,2.1,92.5,0,5.7,0,0.1,0,1.8,0.6,6.8,1.8,1,27.4,1.6,6
,Ham Lake,Ham Lake,,MN,Minnesota,27003,Anoka,27003,Anoka,45.2545,-93.2039,16528,16528,185,polygon,FALSE,TRUE,FALSE,America/Chicago,3,55304,1840006720,41.2,11.8,15.1,9.1,12.4,14.3,16.9,12.5,6.2,1.7,51.6,48.4,62.3,9.3,25.4,3.1,3.26,64.6,95962,0.9,1.2,1.3,2,2.3,5,7.1,16.7,16.5,23.5,23.6,47.1,40897,93.1,280703,1476,17.6,4,28.2,36.2,21.8,9.8,31.6,47.9,70,3.7,92,0.8,3.7,0.4,0,0.5,2.6,1.7,8.7,4.6,0.6,31.4,2.7,8.5
,Burnsville,Burnsville,,MN,Minnesota,27037,Dakota,27037,Dakota,44.7648,-93.2795,61439,61439,955,polygon,FALSE,TRUE,FALSE,America/Chicago,3,55306 55337,1840006766,36.4,13.6,12,14.7,14.4,11.3,13.9,10.9,5.8,3.3,47.7,52.3,49.6,13.2,32.4,4.7,3.02,60,67397,1.8,1.9,2.9,3.1,4.1,11,11.5,19.7,15.2,17.3,11.5,28.8,33988,64,224534,1252,17.5,6.9,22.2,33,26.7,11.2,37.9,45,73,5,73.8,11.9,4.3,0.2,0,5.1,4.6,9.1,9.5,9.3,3.4,23.9,6.4,8.1
,Stillwater,Stillwater,,MN,Minnesota,27163,Washington,27163,Washington,45.0573,-92.8313,19368,19368,929,polygon,FALSE,TRUE,FALSE,America/Chicago,3,55082 55083,1840008914,40.4,12.8,15,9,12.6,16.3,13.8,10.2,6.8,3.5,49.9,50.1,51.9,14.6,29.3,4.2,3.07,58.8,82205,1.2,0.4,2,3.4,4.1,5.8,9.7,17.9,15.3,19,21.2,40.2,41181,78.7,257846,1373,17.6,2.5,18.9,31.4,30.6,16.6,47.2,44.2,68.9,3.3,93.4,2.4,1.3,0.2,0,0.2,2.5,2.6,9.8,5.6,0.3,24.9,3.1,8.5
,Bemidji,Bemidji,,MN,Minnesota,27007,Beltrami,27007,Beltrami,47.483,-94.8788,16733,15366,413,polygon,FALSE,TRUE,FALSE,America/Chicago,3,56601 56619,1840006600,28.9,10.4,17.3,23.1,10.1,9.1,9.6,8.6,5,6.9,46.3,53.7,30.6,15.1,47.5,6.9,2.89,50.4,33260,4.5,4.6,15,7.1,8.6,11.6,15.9,13.7,8.8,7.2,2.9,10.1,18791,47,130745,742,18.1,7.9,26.8,38.8,17.5,9.1,26.6,34.2,62.4,7.9,79.1,1,1.1,13.3,0,0,5.5,1.5,15.8,24.5,0.1,14.3,8.4,7.3
,South St. Paul,South St. Paul,Saint Paul,MN,Minnesota,27037,Dakota,27037,Dakota,44.8877,-93.0411,20242,20242,1389,polygon,FALSE,TRUE,FALSE,America/Chicago,3,55075,1840008948,34.8,13.7,13.9,13.1,17.3,11.4,13.3,8.7,5.4,3.2,48.2,51.8,44.7,12.7,36.7,5.9,3.09,60.4,58026,2.1,2.9,5.1,5.4,4.7,7.6,15.1,21.7,14.8,16.3,4.2,20.5,31738,66,169282,1167,20.1,9.2,27.6,37.5,19.4,6.3,25.7,36.1,72.1,5,81.8,3.6,2.6,0.8,0.1,5.2,5.9,14.6,11.2,12.1,2.3,19.8,7,7.4
,Moorhead,Moorhead,,MN,Minnesota,27027,Clay,27027,Clay,46.8674,-96.746,43122,43122,745,polygon,FALSE,TRUE,FALSE,America/Chicago,3,56560 56562 56563,1840007731,29.7,13.3,15.1,22,13,10.1,10.5,7.5,4.3,4.1,48.8,51.2,44.8,8.5,42.4,4.3,3.05,61.3,56516,2.8,4.2,6.6,4.2,5.4,9.5,12.3,19.5,15.4,12.9,7.2,20.1,26313,62.3,171233,1115,17.3,5,23.1,34.4,27,10.5,37.5,30.8,70.2,3.1,90.6,3.5,1.4,1.2,0,0.6,2.8,4.9,10.3,15.9,1.4,16.4,5.7,5.9
,Cloquet,Cloquet,,MN,Minnesota,27017,Carlton,27017,Carlton,46.7221,-92.4923,12738,11938,130,polygon,FALSE,TRUE,FALSE,America/Chicago,3,55720,1840006646,35.5,13.7,14.5,13.5,14.8,10.5,12.1,10.8,4.8,5.3,50.6,49.4,44.6,13.5,34.1,7.7,3.07,49.1,51487,4,3.1,4.8,5.9,5.4,11,14.3,19.7,17,9.5,5.3,14.8,27326,73.3,139515,888,16.6,5,36.3,36.9,16,5.8,21.8,32.6,65.2,3.7,83.6,1.3,0.8,9.9,0,0.4,4.1,2.4,11.9,14,0.3,19.4,5,8.7
,Oakdale,Oakdale,,MN,Minnesota,27163,Washington,27163,Washington,44.9877,-92.9641,28083,28083,989,polygon,FALSE,TRUE,FALSE,America/Chicago,3,55128,1840007813,38.7,11.7,12.1,15.8,11.5,10.7,17.3,12.1,5.3,3.6,46.8,53.2,46.7,12.8,35.8,4.7,3.03,59.3,69525,1.4,1.5,3.4,2,4.5,8.1,13.8,18.8,13.3,21.8,11.3,33.1,37203,75.6,204762,1205,17.1,5.9,26.2,36.2,23.2,8.5,31.7,40.8,73.4,4.1,78.4,8.2,8.6,0.5,0,0.9,3.4,4.9,10.2,6.8,1.7,24,4,7.3
,Hibbing,Hibbing,,MN,Minnesota,27137,St. Louis,27137,St. Louis,47.3981,-92.9487,11389,16041,34,polygon,FALSE,TRUE,FALSE,America/Chicago,3,55746,1840006594,40.3,12.3,15.4,11.7,10,13.1,13,11.2,8,5.1,46.7,53.3,46.8,14.2,30,9.1,2.87,45.8,44659,3.6,4.2,8.9,9.7,7.3,9.6,9.7,20.3,11.7,11.8,3.2,15,25928,71.3,105591,644,13.8,9.6,26.2,44.1,14.6,5.5,20.1,46.3,58.6,6.7,93.8,0.7,1.8,0.4,0.1,0.8,2.4,1.4,17.4,19.5,0.8,18,6.1,11.3
,Duluth,Duluth,,MN,Minnesota,27137,St. Louis,27137,St. Louis,46.7757,-92.1392,120101,86066,463,polygon,FALSE,TRUE,FALSE,America/Chicago,2,55803 55802 55805 55804 55808 55810 55811 55812 55807 55806 55815 55816,1840007685,33.8,9.9,14,21.2,11.4,10.3,12.2,10.7,5.7,4.7,49.2,50.8,38.7,11.7,44,5.6,2.85,55.6,47227,3.9,4,6.7,5.7,6.8,10.7,14.5,17.8,11.2,11.4,7.1,18.5,23157,59.8,151866,966,17.3,6.7,24.2,33,23.4,12.8,36.2,45.9,66.1,4.7,89.9,2.7,1.7,1.9,0,0.3,3.4,2.3,13.2,20.3,0.8,17,4.5,7.5
,Winona,Winona,,MN,Minnesota,27169,Winona,27169,Winona,44.0509,-91.6689,29973,26928,550,polygon,FALSE,TRUE,FALSE,America/Chicago,3,55987,1840010034,29.4,7,17.2,26.6,8.4,8.4,11.6,9.6,6.6,4.6,47.7,52.3,34.5,9,51.8,4.8,2.9,57.3,43551,4.8,4.9,6.5,6,6,11.4,15.8,18.2,10.9,11,4.5,15.5,18695,60.6,138071,834,15.7,7.7,24.9,33.8,20.3,13.3,33.6,39.3,69.2,6.9,93.7,2.5,2.4,0.3,0,0.1,1,1.6,11.8,20.2,0.1,14.1,4.9,6.2
,Fridley,Fridley,,MN,Minnesota,27003,Anoka,27003,Anoka,45.0841,-93.2595,27853,27853,1057,polygon,FALSE,TRUE,FALSE,America/Chicago,3,55421 55432,1840007798,36.9,12.4,12.1,15.6,14.5,10.6,14.1,10.5,6.8,3.4,51.2,48.8,44.6,14.3,35.9,5.3,3.11,53.8,56583,2,2.3,3.1,4.1,5.3,10.4,17,19.9,15.3,14.4,6.3,20.7,30583,61.5,174277,1051,17.4,10.7,31.7,30,19.2,8.4,27.6,44.4,69.1,6.4,67.9,16.1,6.8,1,0.1,4.7,3.4,10.3,10.3,10.7,5.8,23.9,8.4,6.5
,Hutchinson,Hutchinson,,MN,Minnesota,27085,McLeod,27085,McLeod,44.8856,-94.3768,13773,13895,632,polygon,FALSE,TRUE,FALSE,America/Chicago,3,55350,1840006756,39.1,11.8,10.8,15.3,13.8,9.7,13.9,11.2,7.9,5.7,50.4,49.6,50.7,12.7,29.1,7.5,2.77,56.1,55705,1.8,1.9,4.3,3.9,4.3,9.4,17.2,23,16.6,11.4,6.4,17.8,31042,70.2,141182,944,17.8,5.4,34.8,38.2,14.2,7.4,21.6,42,71.3,2.6,95.5,0.4,1,0.3,0,0.4,2.4,3.3,11.4,6.7,0.4,17.7,4.3,9.4
,Marshall,Marshall,,MN,Minnesota,27083,Lyon,27083,Lyon,44.4488,-95.7897,13494,13710,518,polygon,FALSE,TRUE,FALSE,America/Chicago,3,56258,1840007879,32,13.5,15.7,18,13.6,10.2,11.9,8.1,5.3,3.9,49.6,50.4,45,9,40.1,5.9,3.06,63.6,47344,3.7,2.3,7.3,7.5,4.7,12.7,13.2,13.9,13.8,14.1,6.8,20.9,26720,55.3,142749,902,13.6,8.1,31.1,30.1,22.4,8.3,30.7,40.2,72.7,4.1,83.4,5.8,4.5,0.6,0,3.5,2.1,8.5,10.1,18.6,3.9,12.2,6.5,4.8
,Owatonna,Owatonna,,MN,Minnesota,27147,Steele,27147,Steele,44.0914,-93.2304,25587,25794,685,polygon,FALSE,TRUE,FALSE,America/Chicago,3,55060,1840008983,38.8,14.9,12.1,11.8,12.5,12.9,13.2,11.1,6.1,5.3,49.4,50.6,55.2,11.1,26.9,6.8,3.04,60.5,56289,2.6,3.6,4.6,4.6,5.2,6.7,15.3,18.5,16.4,14,8.5,22.5,33176,72.5,151379,984,15.9,7.2,33,32.5,18.9,8.4,27.3,35,67.5,4.8,89,4.5,1.4,0.3,0,3.4,1.5,7.9,11.3,10.4,0.9,17.1,3.4,9
,New Ulm,New Ulm,,MN,Minnesota,27015,Brown,27015,Brown,44.3119,-94.468,13085,13238,511,polygon,FALSE,TRUE,FALSE,America/Chicago,3,56073,1840007894,39.7,11.6,13,15.2,10.5,10.4,13.3,12.1,8.3,5.6,48.3,51.7,52.7,9.7,30.8,6.8,2.73,60.4,55876,1.2,2.4,4.9,5.1,6.5,10.4,10.9,24.7,18.3,10,5.6,15.6,27195,75.2,135334,773,13.8,7.3,34.8,34.9,16.3,6.7,23,33.5,69.9,2,95.9,0.3,0.9,0.3,0.2,1.2,1.2,3.7,11.5,8,0.6,12.5,4.6,9.3
,Crystal,Crystal,,MN,Minnesota,27053,Hennepin,27053,Hennepin,45.0377,-93.3599,23165,23165,1545,polygon,FALSE,TRUE,FALSE,America/Chicago,3,55422 55427 55429 55428,1840006745,38.7,11.7,10.7,12.7,17.2,12.4,15.5,10.4,5,4.4,49.6,50.4,45,14.7,35.1,5.2,3.13,61.3,62831,1.9,1.8,2.6,4.3,4.3,7.1,14.2,25,15.1,16.4,7.5,23.9,34022,73.3,168057,1237,21,6,29.7,32.8,23.2,8.3,31.5,38.3,72.2,4.4,79.1,13.5,3.1,0.5,0,1.6,2.2,8.3,11.7,8.3,2.4,22.8,6.9,7.7
,Plymouth,Plymouth,,MN,Minnesota,27053,Hennepin,27053,Hennepin,45.0224,-93.4615,78395,78395,925,polygon,FALSE,TRUE,FALSE,America/Chicago,3,55442 55441 55447 55446,1840008929,39.8,13.6,11.1,11.2,14.5,12.7,15.3,12.3,5.8,3.7,48.5,51.5,59.3,9.6,26.5,4.5,2.97,63.8,91867,1.3,1.2,1.8,2.6,3.4,6.2,9.8,15.7,11.8,19.4,26.8,46.2,45055,71.6,326966,1571,16.4,2.6,13.2,27.2,35.9,21.1,57,47.6,72.1,3.1,81.4,5.6,9.1,0.7,0,0.6,2.6,4.4,7.6,5.2,2.6,23.5,3.5,6.2
,Roseville,Roseville,,MN,Minnesota,27123,Ramsey,27123,Ramsey,45.0155,-93.1544,36314,36314,1078,polygon,FALSE,TRUE,FALSE,America/Chicago,3,55113,1840008939,40.1,10.3,11.6,15.4,12.5,10.2,13.2,11.2,8.1,7.3,47.4,52.6,47.3,10.6,34,8.1,3.02,60.3,67242,3.1,2.3,3.3,4.4,3.9,9.6,10.1,17.8,15.3,17.6,12.6,30.2,34216,63.8,231250,1156,16.5,6.3,18,26.4,28.3,21,49.3,48.5,64.7,3.7,77.8,7.3,9,0.6,0,1,4.3,3.8,11.8,10.2,3,22,3.1,7.3
,Prior Lake,Prior Lake,,MN,Minnesota,27139,Scott,27139,Scott,44.7251,-93.4409,26401,26401,640,polygon,FALSE,TRUE,FALSE,America/Chicago,3,55372 55379,1840008956,39.1,14.8,14.7,8.5,13,15.9,15.2,10.3,5.6,2.2,50.1,49.9,62.7,10,23.4,3.8,3.23,66.8,100190,1.6,1.8,2.6,2.2,1.8,5,9.1,14.1,11.8,24.4,25.7,50.1,45326,83.4,285794,1697,18.5,3.4,18.5,33.4,34,10.7,44.7,42.2,71.5,3.5,87.7,0.7,5.3,1.8,0,1.2,3.4,2.7,8.1,5.1,2.1,28.2,4.9,8.1
1,St. Louis Park,St. Louis Park,Saint Louis Park,MN,Minnesota,27053,Hennepin,27053,Hennepin,44.9488,-93.3649,49029,49029,1782,polygon,FALSE,TRUE,FALSE,America/Chicago,3,55426 55416,1840008935,35.6,10.9,8.4,19.3,17.8,13.1,11.3,9.7,4.7,4.9,48.7,51.3,42.7,11.7,40.6,5,2.85,62.8,71346,1.9,1.3,4.3,3.7,3.7,7.6,12.5,17.1,14.8,18.8,14.5,33.3,43360,56.2,239652,1383,18.2,3.9,13.5,26,38.6,18.1,56.7,42.5,76.7,3.4,83,7.7,3.7,0.4,0,2,3.3,3.8,9.6,7.1,3,21.3,5.3,6
,Lino Lakes,Lino Lakes,,MN,Minnesota,27003,Anoka,27003,Anoka,45.1679,-93.083,21407,21407,292,polygon,FALSE,TRUE,FALSE,America/Chicago,3,55014 55038,1840008902,39.6,11,17.5,10.4,11.5,16.7,19.4,9,3.3,1.2,51.4,48.6,59.4,9,28.7,2.8,3.2,70.9,107438,1.2,0.5,1.1,1.7,2,3.7,6.2,12.9,16.5,27.3,27.1,54.4,44038,91.6,269070,1599,17.3,3,21.1,33.4,28.9,13.5,42.4,45.4,72,3.4,91.7,1.7,2.2,0.4,0,1.3,2.8,2.5,7,3.6,0.4,26.7,1.3,5.8
,Otsego,Otsego,,MN,Minnesota,27171,Wright,27171,Wright,45.266,-93.62,16755,16755,218,polygon,FALSE,TRUE,FALSE,America/Chicago,3,55301 55330 55362,1840008899,34.3,14.6,19.6,9.7,18,15.5,8.6,9.9,3.9,0.2,48.7,51.3,62.6,5.3,27.8,4.2,3.21,66.4,99037,0.8,0.7,0.7,3.9,2.1,5.4,7.9,15.4,13.7,35.9,13.6,49.5,41746,93.7,202733,1282,15.5,6.7,22,42.5,21,7.8,28.8,44.3,81.4,1.9,94.2,2.7,0.9,0.2,0,0.1,1.9,1.9,5.4,1.6,0,26.9,2.9,5.8
,North St. Paul,North St. Paul,Saint Paul,MN,Minnesota,27123,Ramsey,27123,Ramsey,45.0137,-92.9995,12444,12444,1680,polygon,FALSE,TRUE,FALSE,America/Chicago,3,55109,1840007843,37.4,14.8,8.8,14.2,14.3,11.9,14.6,12.2,4.7,4.4,49.8,50.2,46.9,13.5,33.7,5.8,3.16,56.4,61225,2.9,1.5,5.1,4.2,4.5,10.2,12.6,20.5,12.5,17.5,8.5,26,32382,68.1,183393,1288,19.8,10.3,31.8,32.8,18.1,7,25.1,42.4,69.5,6.8,76.6,9.1,9.4,0.1,0,1.7,3,4.9,12.9,9.7,1.3,25.8,4.4,8.1
